IAS,Vector Component,Coeff Factor,p val,is_significant
Bing'25,positive,0.0953914362629289,2.3577164048000642e-07,True
Bing'25,negative,0.30037555181566433,4.694063289343506e-62,True
Bing'25,joy,0.314930725607427,2.354732474522264e-68,True
Bing'25,sadness,0.14534433777916644,2.8043715472940793e-15,True
Bing'25,anger,0.05769694084840654,0.001798064098109086,True
Bing'25,fear,0.42898708165134514,2.804044170661329e-131,True
Gemma,positive,0.05935957480413771,0.3112406903306324,False
Gemma,negative,0.22522917704700057,0.00010069693105194604,True
Gemma,joy,0.27331899157637873,2.0421888589909156e-06,True
Gemma,sadness,0.04451952433193055,0.4477505569068988,False
Gemma,anger,-0.0058083201577493505,0.9211396445011141,False
Gemma,fear,0.23744010535266938,4.0289360612330605e-05,True
GPT,positive,0.22800805717387382,8.210075309162705e-05,True
GPT,negative,0.1754361970542113,0.0025820757869516563,True
GPT,joy,0.437777675568922,3.785280745121361e-15,True
GPT,sadness,0.0482673115458257,0.41042185420278543,False
GPT,anger,0.07669858047752194,0.19047153549083684,False
GPT,fear,0.5159576139883445,2.4746440718843343e-21,True
