exp,comp_name,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1,lexicon_change_queries_gen,1.09E-62,3.02E-14,8.11E-25,2.45E-64,8.75E-106,1.40E-38,8.72E-18,1.02E-06,0.513659009,0.000460218,4.14E-95
1,lexicon_change_queries_em,5.56E-291,0.00E+00,0,3.03E-12,6.02E-06,0.320739298,8.49E-23,1.51E-25,0.006644854,5.06E-60,8.20E-99
1,lexicon_change_queries_good,3.83E-122,1.24E-139,0,2.58E-07,,,2.72E-06,2.17E-21,0.020410549,0.001454667,2.73E-59
1,lexicon_change_queries_bad,2.72E-173,1.52E-182,0,1.57E-08,4.54E-06,0.322697913,1.30E-18,4.08E-06,0.044870574,4.83E-70,7.78E-43
1,lexicon_change_gen,1.73E-06,1.96E-16,0.014454674,0.128733004,7.37E-13,0.205557314,5.03E-07,0.097918509,0.700888608,3.70E-19,1.31E-45
1,lexicon_change_em,0.848422972,8.46E-41,0.456849788,0.032459372,2.41E-05,0.000957476,0.016438728,0.449338991,0.001010855,3.74E-49,1.45E-23
1,lexicon_change_good,0.00238048,8.30E-35,6.78E-06,0.084208162,0.155869307,0.106525601,0.872876412,0.211650451,0.044679766,3.18E-14,1.49E-16
1,lexicon_change_bad,3.67E-05,7.07E-15,5.24E-08,0.000745148,2.04E-05,2.15E-05,0.003894405,0.497967902,0.003282059,3.32E-40,2.51E-09
1,bing_lexicon_gen_em,5.85E-05,0.004370986,6.86E-05,6.14E-09,0.551713424,0.002025402,1.99E-12,0.04678018,0.016897762,6.68E-29,0.424661421
1,bing_lexicon_em_good_bad,0.000897422,2.28E-14,0.010842354,0.398816975,0.273617932,0.000712812,2.62E-14,1.88E-07,3.73E-05,7.16E-16,1.00E-12
1,bing_lexicon_em_rank,0.474276583,0.262008243,0.526413338,0.143602787,0.127232753,0.235144436,0.138228773,0.9758528,0.852727629,0.609402766,0.492103611
1,bing_lexicon_gen_rank,0.283485064,0.727566662,0.653767933,0.005747358,0.187445237,0.353896386,0.629571417,0.888204193,0.523776166,0.713396612,0.753364078
2,IO_bing_em_rank_5,0.772786665,0.697355211,0.698852914,0.063577002,0.952316405,0.471374666,0.584642833,0.822600962,0.881695729,0.794754056,0.83170522
2,bing_semantic_em_rank,0.875353766,0.875353755,N/A,0.16122714,N/A,N/A,0.089084559,0.503091689,0.20439332,N/A,N/A
2,bing_semantic_gen_rank,0.365567471,0.365567482,N/A,0.16386878,N/A,N/A,0.992292606,0.563881208,0.249243699,N/A,N/A
2,IO_bing_gen_rank_5,0.968471084,0.340106198,0.586077593,0.02198397,0.754789376,0.975564174,0.607407825,0.605787258,0.366060957,0.333095591,0.120009899
2,bing_semantic_em_good_bad,1.33E-84,1.33E-84,N/A,0.102217424,N/A,N/A,1.00E-20,6.86E-47,7.27E-12,N/A,N/A
2,IO_bing_em_rank_4,0.949452281,0.029297088,0.224119853,0.023932633,0.240701624,0.072387855,0.346836269,0.244380614,0.721823048,0.220557869,0.094579736
2,bing_semantic_gen_em,0.020479064,0.020479057,N/A,2.64E-09,N/A,N/A,1.99E-06,0.194669689,2.13E-05,N/A,N/A
2,IO_bing_em_rank_3,0.6163933,0.493652872,0.49658538,0.060361468,0.821672028,0.000705661,0.560213582,0.143928903,0.515200768,0.857576505,0.148019292
2,IO_bing_gen_rank_4,0.462636068,0.147264251,0.198500047,0.657074204,0.37662248,0.973959865,0.662585202,0.75202589,0.802904424,0.006447891,0.311846201
2,IO_bing_em,0.30309069,0.227174128,0.194457799,0.000398785,0.302067154,1.32E-05,0.104949316,0.030972006,0.097983076,0.237991479,0.046285924
2,IO_bing_good,0.408701648,0.921257993,0.643661779,0.172101384,0.004500153,0.040380769,0.048643168,0.027181304,0.155396415,0.005739161,0.180554723
2,IO_bing_bad,0.015528882,0.122555439,0.028549014,0.000130386,0.249570775,1.61E-06,0.374128143,0.399952213,0.383867023,0.287341229,0.104012122
2,IO_bing_gen,0.03672359,0.915220148,0.215066661,0.057175691,0.318609578,0.218647886,0.995833107,0.206236714,0.472353446,0.001492931,1.59E-06
2,IO_bing_em_rank_1,0.071256115,0.816628819,0.228106221,0.242530352,0.025774565,0.011258193,0.934778282,0.129260645,0.270164517,0.531519857,0.655251232
2,IO_bing_gen_rank_2,0.154886323,0.781273084,0.500956348,0.00385424,0.820642025,0.030102602,0.473785832,0.440747516,0.700869425,0.008413943,0.004499979
2,IO_bing_em_rank_2,0.917631404,0.491768881,0.650866228,0.319721438,0.288219138,0.199511373,0.162645267,0.875601784,0.034772125,0.238643925,0.426973058
